Symbol,Date,Open,High,Low,Close,Volume,Yesterday Volume,Tomorrows Percent Change
AAPL,2016-11-11,107.12,108.87,106.55,108.43,34143898,57134541,-2.5085308493959357
AAPL,2016-11-14,107.71,107.81,104.08,105.71,51175504,34143898,1.3243780153249511
AAPL,2016-11-15,106.57,107.68,106.16,107.11,32264510,51175504,2.688824572869009
AAPL,2016-11-16,106.7,110.23,106.6,109.99,58840522,32264510,-0.03636694244930634
AAPL,2016-11-17,109.81,110.35,108.83,109.95,26964598,58840522,0.10004547521600675
AAPL,2016-11-18,109.72,110.54,109.66,110.06,28428917,26964598,1.517354170452482
AAPL,2016-11-21,110.12,111.99,110.01,111.73,29264571,28428917,0.06265103374205064
AAPL,2016-11-22,111.95,112.42,111.4,111.8,25965534,29264571,-0.5098389982110851
AAPL,2016-11-23,111.36,111.51,110.33,111.23,27426394,25965534,0.5034612964128403
AAPL,2016-11-25,111.47,111.87,110.95,111.79,11475922,27426394,-0.19679756686645772
AAPL,2016-11-28,111.43,112.46,111.39,111.57,27193983,11475922,-0.09859281168772918
AAPL,2016-11-29,110.78,112.03,110.07,111.46,28528750,27193983,-0.8433518751121459
AAPL,2016-11-30,111.6,112.2,110.27,110.52,36162258,28528750,-0.9319580166485715
AAPL,2016-12-01,110.36,110.94,109.03,109.49,37086862,36162258,0.3744634213170251
AAPL,2016-12-02,109.17,110.09,108.85,109.9,26527997,37086862,-0.7188353048225716
AAPL,2016-12-05,110.0,110.03,108.25,109.11,34324540,26527997,0.7698652735771272
AAPL,2016-12-06,109.5,110.36,109.19,109.95,26195462,34324540,0.9822646657571608
AAPL,2016-12-07,109.26,111.19,109.16,111.03,29998719,26195462,0.9817166531568075
AAPL,2016-12-08,110.86,112.43,110.6,112.12,27068316,29998719,1.6321798073492673
AAPL,2016-12-09,112.31,114.7,112.31,113.95,34402627,27068316,-0.5704256252742481
AAPL,2016-12-12,113.29,115.0,112.49,113.3,26374377,34402627,1.668137687555164
AAPL,2016-12-13,113.84,115.92,113.75,115.19,43733811,26374377,0.0
AAPL,2016-12-14,115.04,116.2,114.98,115.19,34031834,43733811,0.5469224759093632
AAPL,2016-12-15,115.38,116.73,115.23,115.82,46524544,34031834,0.12951131065446875
AAPL,2016-12-16,116.47,116.5,115.64,115.97,44351134,46524544,0.5777356212813674
AAPL,2016-12-19,115.8,117.38,115.75,116.64,27779423,44351134,0.26577503429355476
AAPL,2016-12-20,116.74,117.5,116.68,116.95,21424965,27779423,0.09405728943993111
AAPL,2016-12-21,116.8,117.4,116.78,117.06,23783165,21424965,-0.6577823338458876
AAPL,2016-12-22,116.35,116.51,115.64,116.29,26085854,23783165,0.19778140854758772
AAPL,2016-12-23,115.59,116.52,115.59,116.52,14249484,26085854,0.6350841057329292
AAPL,2016-12-27,116.52,117.8,116.49,117.26,18296855,14249484,-0.4264028654272557
AAPL,2016-12-28,117.52,118.02,116.2,116.76,20905892,18296855,-0.025693730729702925
AAPL,2016-12-29,116.45,117.11,116.4,116.73,15039519,20905892,-0.779576801165091
AAPL,2016-12-30,116.65,117.2,115.43,115.82,30586265,15039519,0.2849248834398312
AAPL,2017-01-03,115.8,116.33,114.76,116.15,28781865,30586265,-0.11192423590185936
AAPL,2017-01-04,115.85,116.51,115.75,116.02,21118116,28781865,0.5085330115497357
AAPL,2017-01-05,115.92,116.86,115.81,116.61,22193587,21118116,1.114827201783721
AAPL,2017-01-06,116.78,118.16,116.47,117.91,31751900,22193587,0.9159528453905507
AAPL,2017-01-09,117.95,119.43,117.94,118.99,33561948,31751900,0.10084881082444284
AAPL,2017-01-10,118.77,119.38,118.3,119.11,24462051,33561948,0.5373184451347499
AAPL,2017-01-11,118.74,119.93,118.6,119.75,27588593,24462051,-0.41753653444676403
AAPL,2017-01-12,118.9,119.3,118.21,119.25,27086220,27588593,-0.17610062893081238
AAPL,2017-01-13,119.11,119.62,118.81,119.04,26111948,27086220,0.8064516129032205
AAPL,2017-01-17,118.34,120.24,118.22,120.0,34439843,26111948,-0.008333333333337597
AAPL,2017-01-18,120.0,120.5,119.71,119.99,23712961,34439843,-0.1750145845487072
AAPL,2017-01-19,119.4,120.09,119.37,119.78,25597291,23712961,0.18367006177992892
AAPL,2017-01-20,120.45,120.45,119.73,120.0,32597892,25597291,0.06666666666666525
AAPL,2017-01-23,120.0,120.81,119.77,120.08,22050218,32597892,-0.09160559626915343
AAPL,2017-01-24,119.55,120.1,119.5,119.97,23211038,22050218,1.592064682837373
AAPL,2017-01-25,120.42,122.1,120.28,121.88,32586673,23211038,0.04922874958976229
AAPL,2017-01-26,121.67,122.44,121.6,121.94,26337576,32586673,0.008200754469415381
AAPL,2017-01-27,122.14,122.35,121.6,121.95,20562944,26337576,-0.2624026240262463
AAPL,2017-01-30,120.93,121.63,120.66,121.63,30377503,20562944,-0.23020636356162225
AAPL,2017-01-31,121.15,121.39,120.62,121.35,49200993,30377503,6.098063452822419
AAPL,2017-02-01,127.03,130.49,127.01,128.75,111985040,49200993,-0.1708737864077661
AAPL,2017-02-02,127.98,129.39,127.78,128.53,33710411,111985040,0.4279156617132275
AAPL,2017-02-03,128.31,129.19,128.16,129.08,24507301,33710411,0.9374031608304767
AAPL,2017-02-06,129.13,130.5,128.9,130.29,26845924,24507301,0.9517230792846797
AAPL,2017-02-07,130.54,132.09,130.45,131.53,38183841,26845924,0.38774424085759207
AAPL,2017-02-08,131.35,132.22,131.22,132.04,23004072,38183841,0.2877915783095997
AAPL,2017-02-09,131.65,132.44,131.12,132.42,28349859,23004072,-0.22655188038059432
AAPL,2017-02-10,132.46,132.94,132.05,132.12,20065458,28349859,0.8855585831062576
AAPL,2017-02-13,133.08,133.82,132.75,133.29,23035421,20065458,1.2979218245930064
AAPL,2017-02-14,133.47,135.09,133.25,135.02,33226223,23035421,0.3629091986372246
AAPL,2017-02-15,135.52,136.27,134.62,135.51,35623100,33226223,-0.1254519961626356
